Defaulting to user installation because normal site-packages is not writeable
Requirement already satisfied: scikit-learn in /home/ds7000/.local/lib/python3.8/site-packages (1.3.2)
Requirement already satisfied: threadpoolctl>=2.0.0 in /home/ds7000/.local/lib/python3.8/site-packages (from scikit-learn) (3.2.0)
Requirement already satisfied: joblib>=1.1.1 in /home/ds7000/.local/lib/python3.8/site-packages (from scikit-learn) (1.3.2)
Requirement already satisfied: numpy<2.0,>=1.17.3 in /share/apps/python/3.8.6/intel/lib/python3.8/site-packages/numpy-1.19.2-py3.8-linux-x86_64.egg (from scikit-learn) (1.19.2)
Requirement already satisfied: scipy>=1.5.0 in /share/apps/python/3.8.6/intel/lib/python3.8/site-packages/scipy-1.5.2-py3.8-linux-x86_64.egg (from scikit-learn) (1.5.2)
WARNING: You are using pip version 20.2.3; however, version 23.3.1 is available.
You should consider upgrading via the '/share/apps/python/3.8.6/intel/bin/python -m pip install --upgrade pip' command.
Files already downloaded and verified
Files already downloaded and verified
Epoch [0], last_lr: 0.00007, train_loss: 1.8180, val_loss: 1.5974, val_acc: 0.4161, f1: 0.4161
Epoch [1], last_lr: 0.00015, train_loss: 1.4506, val_loss: 1.3271, val_acc: 0.5284, f1: 0.5284
Epoch [2], last_lr: 0.00028, train_loss: 1.2009, val_loss: 1.1080, val_acc: 0.6193, f1: 0.6193
Epoch [3], last_lr: 0.00044, train_loss: 0.9550, val_loss: 0.9919, val_acc: 0.6717, f1: 0.6717
Epoch [4], last_lr: 0.00060, train_loss: 0.7960, val_loss: 0.9756, val_acc: 0.6602, f1: 0.6602
Epoch [5], last_lr: 0.00076, train_loss: 0.7174, val_loss: 0.8683, val_acc: 0.7007, f1: 0.7007
Epoch [6], last_lr: 0.00089, train_loss: 0.6701, val_loss: 0.8518, val_acc: 0.7108, f1: 0.7108
Epoch [7], last_lr: 0.00097, train_loss: 0.6356, val_loss: 0.9146, val_acc: 0.6945, f1: 0.6945
Epoch [8], last_lr: 0.00100, train_loss: 0.6244, val_loss: 1.0775, val_acc: 0.6554, f1: 0.6554
Epoch [9], last_lr: 0.00099, train_loss: 0.6137, val_loss: 0.7152, val_acc: 0.7634, f1: 0.7634
Epoch [10], last_lr: 0.00098, train_loss: 0.5951, val_loss: 0.7877, val_acc: 0.7329, f1: 0.7329
Epoch [11], last_lr: 0.00095, train_loss: 0.5844, val_loss: 0.7975, val_acc: 0.7307, f1: 0.7307
Epoch [12], last_lr: 0.00091, train_loss: 0.5708, val_loss: 0.7568, val_acc: 0.7521, f1: 0.7521
Epoch [13], last_lr: 0.00087, train_loss: 0.5361, val_loss: 1.0957, val_acc: 0.6761, f1: 0.6761
Epoch [14], last_lr: 0.00081, train_loss: 0.5238, val_loss: 0.6084, val_acc: 0.7981, f1: 0.7981
Epoch [15], last_lr: 0.00075, train_loss: 0.4966, val_loss: 0.5500, val_acc: 0.8112, f1: 0.8112
Epoch [16], last_lr: 0.00068, train_loss: 0.4584, val_loss: 0.5047, val_acc: 0.8327, f1: 0.8327
Epoch [17], last_lr: 0.00061, train_loss: 0.4334, val_loss: 0.4611, val_acc: 0.8419, f1: 0.8419
Epoch [18], last_lr: 0.00054, train_loss: 0.3978, val_loss: 0.4301, val_acc: 0.8545, f1: 0.8545
Epoch [19], last_lr: 0.00046, train_loss: 0.3589, val_loss: 0.3729, val_acc: 0.8721, f1: 0.8721
Epoch [20], last_lr: 0.00039, train_loss: 0.3383, val_loss: 0.3456, val_acc: 0.8827, f1: 0.8827
Epoch [21], last_lr: 0.00032, train_loss: 0.3002, val_loss: 0.3249, val_acc: 0.8883, f1: 0.8883
Epoch [22], last_lr: 0.00025, train_loss: 0.2648, val_loss: 0.2958, val_acc: 0.9005, f1: 0.9005
Epoch [23], last_lr: 0.00019, train_loss: 0.2313, val_loss: 0.2626, val_acc: 0.9112, f1: 0.9112
Epoch [24], last_lr: 0.00013, train_loss: 0.2026, val_loss: 0.2423, val_acc: 0.9173, f1: 0.9173
Epoch [25], last_lr: 0.00009, train_loss: 0.1688, val_loss: 0.2459, val_acc: 0.9176, f1: 0.9176
Epoch [26], last_lr: 0.00005, train_loss: 0.1454, val_loss: 0.2223, val_acc: 0.9274, f1: 0.9274
Epoch [27], last_lr: 0.00002, train_loss: 0.1243, val_loss: 0.2227, val_acc: 0.9260, f1: 0.9260
Epoch [28], last_lr: 0.00001, train_loss: 0.1138, val_loss: 0.2200, val_acc: 0.9274, f1: 0.9274
Epoch [29], last_lr: 0.00000, train_loss: 0.1083, val_loss: 0.2166, val_acc: 0.9294, f1: 0.9294
Training time: 2073.71 s
